Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas6951           Pavarde6951                      1         5         8         3         2         8        10        10         1         3         9         2         8         9         6         7
Vardas6952           Pavarde6952                      3         6         6         3         2         2         9         2        10         1         3         1         4        10         6         4
Vardas6953           Pavarde6953                      8         6         3        10         6         7         7         2        10         9         1        10         3         5         6         5
Vardas6954           Pavarde6954                      8         7         7         4         2         1         8         9         7         8         4         1         3         5         9         9
Vardas6955           Pavarde6955                      5         9         4         7         7         4         3         5         6         1         2         4         8         8         2         1
Vardas6956           Pavarde6956                      4         5         9         8         5         2         2         3         7         4         7         5         5         9         3         8
Vardas6957           Pavarde6957                      5         9         2         6         3         3         6         5         9         2         8         6         4         4         6         2
Vardas6958           Pavarde6958                      9         8         7         1         8         5        10         4         2         9         8        10         3         5         1         7
Vardas6959           Pavarde6959                      6         3         3         4        10         1         6         7         8         2         6         6         6         1         4         8
Vardas6960           Pavarde6960                      9         8         3        10         8         9         6         7        10         1         6         9        10        10         6         7
Vardas6961           Pavarde6961                      6         4         1         5         3         4         6         7         1         2         5         9         3        10         6         3
Vardas6962           Pavarde6962                      4         9         9         2         4         7         1         1         3         3         4         4         8         1         9         9
Vardas6963           Pavarde6963                      4        10         7         4         1        10         7         3         4         1         2         9         3         3         4         5
Vardas6964           Pavarde6964                      4         2         6        10         3         7         7         5         5         5         4        10         2         2         5         3
Vardas6965           Pavarde6965                      3         6         8         7         2         4         8         4         3         2         9         9        10         8         2         2
Vardas6966           Pavarde6966                      9         9         6         5         3         1         8         1         2         3        10         4        10         3         7         9
Vardas6967           Pavarde6967                     10         1         7         8         2         3         9         4         1        10         7         1         9         1         1         9
Vardas6968           Pavarde6968                      2         9         5         5         8        10         8         1         8         3         3         2         4         8         9         3
Vardas6969           Pavarde6969                      9         9         6         6         5         5         1         7         4         1         5        10         3        10         7         5
Vardas6970           Pavarde6970                     10         1         5         8         6         1         4         1         6         3         6         2         8         2         4         3
Vardas6971           Pavarde6971                      1         4         2         2         7         2         6         4         3         5         5         6         2         5         1         6
Vardas6972           Pavarde6972                      9         5         9         4         9         8        10         7         7         5         5        10         7         9         2         5
Vardas6973           Pavarde6973                      1         2         4         6         5         7        10         8         3         2         2         6        10         5         8         1
Vardas6974           Pavarde6974                      2        10        10         1         2         7         2         6         8         2         9         2         9         9         8         1
Vardas6975           Pavarde6975                      7         3         2         7         7         9         3         3         8        10         9         4         4         5         2         2
Vardas6976           Pavarde6976                      4         9         5         7         5         7        10         9        10         5         1         6         8         7        10         7
Vardas6977           Pavarde6977                      6         2         8         9         4         5         7         3         8         7        10         9        10        10         2         2
Vardas6978           Pavarde6978                      2         3         9         7         8         5         9         4        10         7         8         3         9         9         7         7
Vardas6979           Pavarde6979                      4         5         8         1        10         3         5         2         4         2         8         2         2         7         3         9
Vardas6980           Pavarde6980                      3         6         6         6         5         6         4         6         2         1         4         1         3         5         4         2
Vardas6981           Pavarde6981                      6         1         7         2         8         3         5        10         3         1         2         3         5        10         7         7
Vardas6982           Pavarde6982                      6         8         3         8         2         3         2         3         3         8         9         4         4         2         4        10
Vardas6983           Pavarde6983                      3         7         8         9         5         9         9         6        10         1         6         6         1         8         1         7
Vardas6984           Pavarde6984                     10         5         7         7        10         3         6         6         4         3         3         3         2         9         1         5
Vardas6985           Pavarde6985                      3         1         6         2         9         8         1         7         7         7         4         9         5        10         6         6
Vardas6986           Pavarde6986                      1         1         5         4         2         1        10         7         3         5         2         2         3         1         3         6
Vardas6987           Pavarde6987                      1         4         1        10         9         4         6         8         2        10         5         9         9         8         7         1
Vardas6988           Pavarde6988                      8         4         7         5         5         3         8         1         4         6         8         2         7         7         9         8
Vardas6989           Pavarde6989                      7         5         4        10         5         8         7         9         5         4         7         5         8         7         8         7
Vardas6990           Pavarde6990                      3         4         5         5         4         9         9         9         9         5         4        10         5         1         9         8
Vardas6991           Pavarde6991                      5        10         8        10         3         9         3         2         1         9         9         7         5        10        10         6
Vardas6992           Pavarde6992                      8         5         8         9         6         4         6         9         5         9         6         7         8         7        10         6
Vardas6993           Pavarde6993                      3         9         7         9         8         5         7         4         7         1        10         9         2         8         6         9
Vardas6994           Pavarde6994                     10         5        10         3         7         6         1         5         8         1         8         2         1         4         6         3
Vardas6995           Pavarde6995                      9         3         8         5         8         8         8         2         9         3        10         2         8         9         1         5
Vardas6996           Pavarde6996                      4         4         5         8         7         8         3         4         6        10         5         1         1         3        10         9
Vardas6997           Pavarde6997                      1         4         5         2         5         1         9         5         7         1         7         1         2         4         4        10
Vardas6998           Pavarde6998                     10         7        10         4         5         7         1         3         2         2         1         5         9         8         4         8
Vardas6999           Pavarde6999                      3         7         7         9         2         7         4         4         1         4         2        10         9         9         7         3
Vardas7000           Pavarde7000                      2         2        10         3        10         9         7         3         7         7         4         5         9         7         1        10
Vardas7001           Pavarde7001                      5         6         9         8        10         4         1         5         5         5         3         5         6         1         6         1
Vardas7002           Pavarde7002                     10         4         6         6        10         9         5         8         8         5         2        10         4        10         9         6
Vardas7003           Pavarde7003                     10         9         1         2        10         8         8         9         2         4         5         8         5         6         5         4
Vardas7004           Pavarde7004                      7         7         6         8         1         2         8         3         7         7         9         5         8         3         5         9
Vardas7005           Pavarde7005                      7        10         2         7         8        10         4         2         1         8         4         9        10         9         6        10
Vardas7006           Pavarde7006                      5         3         5         6         9         8         2         6         4        10         5        10         5         4         5         1
Vardas7007           Pavarde7007                      9         3         6         6         2         5         7         1         2         9         1         8         8         9         9         1
Vardas7008           Pavarde7008                      3         9        10         8         8         4         5         7         4         4         8        10         5         3         1         7
Vardas7009           Pavarde7009                      3         6         7         3         7         9         2         4         7        10         5         1         1         7         7         6
Vardas7010           Pavarde7010                      3         9         3         5        10         6         5         1         7         2         4         4         2         8         4         7
Vardas7011           Pavarde7011                      9         7         2         4         8         7         7         3         7         6         4         4         3         4         5         8
Vardas7012           Pavarde7012                      5         9         9         6         6         8         8        10         9         1        10         2         3         5         6         8
Vardas7013           Pavarde7013                      8         1         7         4         4         9         4         9        10         2         9         6         4         8         6         4
Vardas7014           Pavarde7014                      6         1         8         1         5         7         7         4         4         8         9         6        10        10         4         4
Vardas7015           Pavarde7015                      6        10         4         2         1         7         2         6         1         9         4         5         2         7         4         8
Vardas7016           Pavarde7016                      6         5         5         9         6         8        10         2         7         4         2         5         7         4         6        10
Vardas7017           Pavarde7017                      7         5         2         1         3         4         1        10         7         8         7         2        10         4         7         2
Vardas7018           Pavarde7018                      1         9         1         3         4         5         8         8         1         7         6         4         5         3         4         3
Vardas7019           Pavarde7019                      9         9         3         1         7         6         2         4         6         6         8         5         5         6         7         1
Vardas7020           Pavarde7020                      7         2         9         4         1         4         2         7         7         5         6         8         1         6         1         6
Vardas7021           Pavarde7021                     10         5         1         5         8         8         6         7         6         9         5         8         7         4         1         5
Vardas7022           Pavarde7022                     10        10         9         5         6         8         3         5         2         7         5         3         4         4         2         4
Vardas7023           Pavarde7023                      6         2         8         5         2         7         4         4         5         9         3         7         6         6        10         2
Vardas7024           Pavarde7024                      2         6         1         1         3         4         1         6        10         9         9        10         6         8         3         8
Vardas7025           Pavarde7025                      1         1        10         2        10         6         8        10         5         1         9         9         2        10         9         7
Vardas7026           Pavarde7026                      9         1         8         4         3         3         1         8         4        10         8         2         2         6         1         9
Vardas7027           Pavarde7027                      7         8         6         4         6        10         8         8         5         6         1        10         6         3         6         2
Vardas7028           Pavarde7028                      8         6         6         7         4         5         7         9        10         3         4         4         9         6         9         7
Vardas7029           Pavarde7029                      9         5         6         2         5         3         6        10         7         8         3         6         2         3         2        10
Vardas7030           Pavarde7030                      3         6         7        10         6         6         7         1         8         3        10         2         9         4         8         4
Vardas7031           Pavarde7031                      2         6         4         5         1         1         1         4         3         1         8        10         4         6         1         7
Vardas7032           Pavarde7032                      5         2         8         8         5         9         1         9         8         3         6         3        10         4         3         4
Vardas7033           Pavarde7033                      1         7        10         9         9         6         7         7         2         8         8         7         9         2         9         8
Vardas7034           Pavarde7034                      7         9         3         8         1         3         8         6         1         5         5         6         2         4         7         4
Vardas7035           Pavarde7035                      1         4         5         2         6         5         6         1         6         6        10         5         2         5         8         7
Vardas7036           Pavarde7036                     10         2         9         1         8         6         5         5         1         7         3         5         7         5        10         9
Vardas7037           Pavarde7037                      9         9         1         8         3         8         6         4         8         7         4         6         9        10         1         7
Vardas7038           Pavarde7038                      4         9         6         5        10         4         7         6         3         8         7         8        10         1         5         2
Vardas7039           Pavarde7039                      9         4        10         8         1         3        10         7         3         7         2         6        10         4         4         6
Vardas7040           Pavarde7040                      6         1         6         5         5         2         3         1         8         2         2         5         9         4         4         5
Vardas7041           Pavarde7041                      8         1         1         6         6        10         3         7         5         7         9         8         5        10         1         9
Vardas7042           Pavarde7042                      7         5         9         9         1         7         6         8         9         6        10         4         6         9         8         3
Vardas7043           Pavarde7043                      7         6         2         6         3         4        10         7         2         5        10         5         3         6         1         9
Vardas7044           Pavarde7044                      8         1         2         9         4        10         2         2         7         7         2         4         1         9         4        10
Vardas7045           Pavarde7045                      8         1         9         4         3         6         9         3         5         5         7         7         7         6         2         6
Vardas7046           Pavarde7046                      5         4        10         8         4         9         2         2         5         4         2         3         4         7         5         5
Vardas7047           Pavarde7047                      3         4         9        10         5         1         7        10         1        10         7         1         3         8         2         3
Vardas7048           Pavarde7048                      3         2         6         3         2         3         9         9         9         3         6         5         6         2         8         1
Vardas7049           Pavarde7049                      3         4         5         1         6         6         6         5         3         6         9         5         1         4         5         1
Vardas7050           Pavarde7050                      3         5         8         9         8         3         5         3         7         6         8         7         5         7         6         2
Vardas7051           Pavarde7051                      9         1         5         3        10         6         2         3         4         8         5         8         4         5         4         3
Vardas7052           Pavarde7052                      5         1         7         1         5        10         4         6         7         2         6        10         8         7         2         5
Vardas7053           Pavarde7053                     10         9         4         7         2         9         5         6        10        10         3         8         8         3         3         2
Vardas7054           Pavarde7054                      2         1         7         4         1        10         5         6         7         8         8        10         6         9         5         1
Vardas7055           Pavarde7055                      4         4         9         8         3         5         8         2         3         4         5         9         8        10        10         5
Vardas7056           Pavarde7056                      3         3         3         9         2         1         5         1         4        10         7         8         9         1         3         8
Vardas7057           Pavarde7057                      7        10         8         3         1         8         5         4         2         5         9         1         2         4         6         5
Vardas7058           Pavarde7058                      9         6         7         8         6         1         7         1         1         2         4         8         4         1         6         6
Vardas7059           Pavarde7059                      5         2         6        10         5         6         6         9         4         2         7         5        10         3         1         5
Vardas7060           Pavarde7060                      1         7         1         7         8         1        10         1         6         6         8         4         7         7         1         4
Vardas7061           Pavarde7061                      9         6         2         4         9         9         7        10         1         3         9         7         7         8        10         2
Vardas7062           Pavarde7062                      8         1         1         8         8         1        10         9         8         7         3         4         7         1         6         2
Vardas7063           Pavarde7063                     10         3        10        10        10         3         9        10         4         9         8         3         3         5         3         7
Vardas7064           Pavarde7064                      1         4         1         2         7         7         5         6         1         6         7         6         3        10         8        10
Vardas7065           Pavarde7065                      7         2         9         9         2         8         9         1         5        10         4         2         6         9         2         7
Vardas7066           Pavarde7066                      2         9         4         4         2         7         4        10         4         7         1         4         3         6         2         4
Vardas7067           Pavarde7067                      7         7         1        10         9         3         8         8         5         2         1         5         6        10         3         3
Vardas7068           Pavarde7068                      7         4         4         5         1         4         8         3         7         4        10         9         8         7         1         4
Vardas7069           Pavarde7069                      3         5         4        10         7         6         8         2         3         7         4         7         3         5         6         6
Vardas7070           Pavarde7070                      5         4         9         8         1         7         5        10         5         7         9         2         4         1        10         2
Vardas7071           Pavarde7071                      7         3         5         1         1         9         5         4         8         5         3         4         7         7         6         4
Vardas7072           Pavarde7072                      9         3         8         8         1         4        10         5         6         9         8         9         5         9         7         6
Vardas7073           Pavarde7073                      5         5         4         8         9         2        10         4         9         8         3         1         9         8         2         9
Vardas7074           Pavarde7074                      8         2         2         3         1         4        10         6         8         3         8         9         3         5         7         7
Vardas7075           Pavarde7075                      7         1         3         7         6         4         8         3         8         6         6         3         6         1         3         5
Vardas7076           Pavarde7076                      6        10         5        10         5         2         2         6        10         7         4         6         4         8         2         2
Vardas7077           Pavarde7077                      3         7         8         2         5         1         4         9         1         3         2         9         7         2         6         7
Vardas7078           Pavarde7078                      8         7         2         2         7         2         4         7         5         3         5        10         7         2         3         9
Vardas7079           Pavarde7079                      7         4         6         4         1         6         6         3         5         2         8         8         9         8         2         8
Vardas7080           Pavarde7080                      2         9         2         5         7         7         7         5         2         7         6         5         1         4         2         7
Vardas7081           Pavarde7081                      4         8         7         8         8         9         7         5         1         1         8         8         5         2         6         4
Vardas7082           Pavarde7082                      2         7         8         2         5         6         1         4         8         5         6         5         7         4         3         7
Vardas7083           Pavarde7083                      7         4         6         5         4         8         1         4         3         7         9         6        10         3        10         2
Vardas7084           Pavarde7084                      2         8         2         1         2         5         9         3        10         6         5         5        10         1         6         1
Vardas7085           Pavarde7085                      9         1         6         8         9         6         3         6         7        10         5         5         4        10         3         4
Vardas7086           Pavarde7086                      5         9         5         7         6         6         3         1         1         9         2         6         3         8         4         1
Vardas7087           Pavarde7087                      4         7        10         1         7         1         7        10         7         8         7         7         1         2         3         7
Vardas7088           Pavarde7088                      8         4         7        10         8        10        10         5        10         7        10         3         9         3         7         8
Vardas7089           Pavarde7089                      4         6         1         1         6        10         3        10         4         8         4         7         7         3         5         4
Vardas7090           Pavarde7090                      3        10         4         9         7         5        10        10         1         3         4         2         5        10         6         6
Vardas7091           Pavarde7091                      7         8         8         5        10        10         4         1        10         9         1         4         6         9         6         9
Vardas7092           Pavarde7092                      7         2         8         6         5         1        10         1         3         4         2         4        10         1         1         6
Vardas7093           Pavarde7093                     10         4         5         6         5         2         8         1         6         4         4        10         9         8         8         2
Vardas7094           Pavarde7094                      2         8         6         6         3         2         3         2         5         8         2         6         5         9         2         1
Vardas7095           Pavarde7095                      1        10        10         4         6         4         2        10         1        10        10         6         6         9         9         5
Vardas7096           Pavarde7096                      5         9         9         9         3         3         8         7         1         2         9         2         4         1         8         7
Vardas7097           Pavarde7097                     10         1        10         7         3         7         5         3         2         6         9         7         2         9         2        10
Vardas7098           Pavarde7098                     10         5         7         1         3         8         8         1         6         6         5         3         3         4         4         1
Vardas7099           Pavarde7099                      3         5         6         4         4         2         5        10         3         5         4        10         4         4         9        10
Vardas7100           Pavarde7100                      6         2        10         8         7         4         6         4         9         5         2         1         6         1         4         8
Vardas7101           Pavarde7101                      8         5         3         1         7         5         9         3         6         3         1         2         1        10         8         8
Vardas7102           Pavarde7102                      3         4         5         8        10         8         2         6        10         8         7         5         1         7        10        10
Vardas7103           Pavarde7103                      3         6         1         5         1         8         2         1         4         6         4         6         6         5         9         2
Vardas7104           Pavarde7104                      6         7         6         5         7         4         1         4         8        10         6        10         6         7         3         3
Vardas7105           Pavarde7105                      7         1         2         6         7         2        10         9         9         7         3         7         2         7         5         6
Vardas7106           Pavarde7106                      1         1         6         4         2         1         5        10        10         8         7         1         9         8         2         9
Vardas7107           Pavarde7107                      9         5         4         5         9         1        10         4         5         2         3         5         9         5         6        10
Vardas7108           Pavarde7108                      9         4         8         4         4         9         3         2         1         2        10         6         2         1         4         4
Vardas7109           Pavarde7109                      3         5         7         5         7         1         8         1         8         8         7         5         5        10        10         2
Vardas7110           Pavarde7110                      3         3         9        10         7         1         6        10         6         7         4         7         2         4         2         4
Vardas7111           Pavarde7111                      4         2         3         9         3         5         5         9         9         8         5         2         6         5         8         2
Vardas7112           Pavarde7112                      1         4         4        10         8         1         9         7         7         5         1         5         2         7         1         7
Vardas7113           Pavarde7113                      3         9         6         9         6         4        10        10         6         5         1        10         5         1         5         3
Vardas7114           Pavarde7114                      4         7         1         1         8         4         4         9         5         5         8        10         5         5         6         7
Vardas7115           Pavarde7115                      4         7         8         1        10         8         8         2         6         5         3        10         5         3         9         7
Vardas7116           Pavarde7116                      7         5         4        10         8         1         4         5         3         8         1         8         3         7         7         8
Vardas7117           Pavarde7117                      1         1         6         4         8         6         9         8         5         8         3         3        10         9         2         5
Vardas7118           Pavarde7118                      8         4         3         1         1         2         1         5         4         3         3         5         6         2         2        10
Vardas7119           Pavarde7119                      9         2         4         7         7         6         3         9         1         3         6         9         4         6         3         4
Vardas7120           Pavarde7120                      9         3         9        10         1         9         4         9         1         4         5        10         1         4         9         3
Vardas7121           Pavarde7121                     10         4         3         6         9         9         9         5        10         7         4         2         5         7         2         2
Vardas7122           Pavarde7122                      4         8         2         3        10         8         1         1        10         9         5         4        10         7         3         2
Vardas7123           Pavarde7123                      9         5         6         5         8         6         3        10         6         5         3         7        10         7         4         4
Vardas7124           Pavarde7124                      7         8         5         1         6         6         4         6         6         1         9         4         5         9         8         9
Vardas7125           Pavarde7125                      9         6         8        10         3        10         1         4         7         6        10         8         3         4         8         7
Vardas7126           Pavarde7126                      1         3         6         6         7         6         1         5         9         9         9         6         4         2         6        10
Vardas7127           Pavarde7127                      1        10         1         1         4         6         7         6         4         5         1         7         6         5         9         3
Vardas7128           Pavarde7128                      6         5         3         7         8         8         7         9         5        10         6         4        10         1        10        10
Vardas7129           Pavarde7129                      2         6         3         3        10         7         6         1         8         3         9         7         2         3         3         9
Vardas7130           Pavarde7130                     10         2         5         7         9         3         7         9        10         3         5         3        10         8         7         7
Vardas7131           Pavarde7131                      4         8         5         1         8         7         5         9         6         7         6         7         8         3         3         8
Vardas7132           Pavarde7132                     10         9        10         3         4         2        10         6         6         2         7         3         3         2         4         8
Vardas7133           Pavarde7133                      4         3        10         4         6        10         1        10        10         4         1        10         4        10         1         6
Vardas7134           Pavarde7134                      8         5         2         4         2         2         3         1         8         7         1         2        10         7         5         4
Vardas7135           Pavarde7135                      4         1        10         8         8         2         8         6         7         6         5         4         8         5         1         8
Vardas7136           Pavarde7136                      7         5         4         4         7         1         1         8         6         1         9         6         3         1        10         4
Vardas7137           Pavarde7137                      4         4         5         9         5         1         8         8         2         5         2         1         2         1         9         7
Vardas7138           Pavarde7138                      7         4         1         5        10         3         6         9         4         8         2         9         3         7         7         8
Vardas7139           Pavarde7139                     10         5         5         9         6         9         1         8        10         6         6        10         8         8         5         8
Vardas7140           Pavarde7140                      8        10         9         6         3         4         8        10         5         9         5        10         2         7         7         4
Vardas7141           Pavarde7141                      7         9         9         9         7         6         5         2         8         9         4         8         2         6        10         8
Vardas7142           Pavarde7142                      7         5         8         8         6         7         1         6        10         4        10         3         1         2         1         3
Vardas7143           Pavarde7143                      6         2         9         2         1         2         1         8         4         9         1         6         9        10         5         9
Vardas7144           Pavarde7144                      9         1         8         3         3         8         5         2         8         7         8         9         6         8         1         4
Vardas7145           Pavarde7145                      3         4         3         7         3         4         5         5         4         3         3         9         4         5         6         2
Vardas7146           Pavarde7146                      6         8         4         6        10        10         2         9         3         1         5         3        10         9         9         1
Vardas7147           Pavarde7147                      6         6         8         9         3         6         3         4         5         8         9         6         8         6        10        10
Vardas7148           Pavarde7148                      2         2         4         6         8         1         6         4         6         5        10         8         2         4        10         1
Vardas7149           Pavarde7149                      6         1        10         1         8         9         6        10         5         2         9         2         1         1         6         7
Vardas7150           Pavarde7150                      8         4         7        10         8         1         8        10         6         8         7         6         4         8        10         9
Vardas7151           Pavarde7151                      7         1         8         7         1         4         9         4         7         4         7         7         3         2         1         2
Vardas7152           Pavarde7152                     10         7         2         1        10         3         2         3         5         4         8         5         6         2         7         9
Vardas7153           Pavarde7153                      5         1         1         5         5         6         9         9         5         7         2         4         4         1         2         4
Vardas7154           Pavarde7154                      4         4         9        10         9         1         6        10         6         7         5         1         5         6         8         4
Vardas7155           Pavarde7155                     10         7         7         4         5         2         9         3         4         6        10         5         2        10         6        10
Vardas7156           Pavarde7156                      4         4         6         7         6         9         4        10         9         8         2         1         5         1         8        10
Vardas7157           Pavarde7157                      8         3         3         7        10         7         1         8         3         2         8         5         2         5         9         6
Vardas7158           Pavarde7158                      5        10         2         6        10         1         3         5         8         1         9         4         2         1         8         1
Vardas7159           Pavarde7159                      3         7         2        10         4         4         6         7         1         2         7         7         3         6         8        10
Vardas7160           Pavarde7160                      8         2        10         2         7        10         9         4         1         8         3         9         5         1         3        10
Vardas7161           Pavarde7161                      7         4         1         9         3         8        10         7         8         1        10         2         8        10         6         9
Vardas7162           Pavarde7162                      8         3         7         6         3        10         4         3         3         1         3         9         7        10         5        10
Vardas7163           Pavarde7163                      5         8         7        10         5         1         1        10         3         7         4        10         7         3         6         3
Vardas7164           Pavarde7164                      7        10         6         1         1        10         2         7         6         3         4        10         9        10         3         7
Vardas7165           Pavarde7165                      1        10         1         7         6         6         5         9         9         3         7         3         5        10         7         9
Vardas7166           Pavarde7166                      7        10         4         5         6         5         5         8        10        10         7         3         7         8        10         9
Vardas7167           Pavarde7167                      9         3         9         8         1         3         6         3         2         3         1         5         1         8        10         5
Vardas7168           Pavarde7168                      8         1         9         5         9         5         4         8         3         2         7         6         9         4         2         4
